feature,original_name,domain,description,source_table,included_in_base_65
vision,Vision,Vision,something that you can easily see,T0001-10.1080%2F02643294.2016.1147426.csv,yes
bright,Bright,Vision,visually light or bright,T0001-10.1080%2F02643294.2016.1147426.csv,yes
dark,Dark,Vision,visually dark,T0001-10.1080%2F02643294.2016.1147426.csv,yes
color,Colour,Vision,having a characteristic or defining colour,T0001-10.1080%2F02643294.2016.1147426.csv,yes
pattern,Pattern,Vision,having a characteristic or defining visual texture or surface pattern,T0001-10.1080%2F02643294.2016.1147426.csv,yes
large,Large,Vision,large in size,T0001-10.1080%2F02643294.2016.1147426.csv,yes
small,Small,Vision,small in size,T0001-10.1080%2F02643294.2016.1147426.csv,yes
motion,Motion,Vision,showing a lot of visually observable movement,T0001-10.1080%2F02643294.2016.1147426.csv,yes
biomotion,Biomotion,Vision,showing movement like that of a living thing,T0001-10.1080%2F02643294.2016.1147426.csv,yes
fast,Fast,Vision,showing visible movement that is fast,T0001-10.1080%2F02643294.2016.1147426.csv,yes
slow,Slow,Vision,showing visible movement that is slow,T0001-10.1080%2F02643294.2016.1147426.csv,yes
shape,Shape,Vision,having a characteristic or defining visual shape or form,T0001-10.1080%2F02643294.2016.1147426.csv,yes
complexity,Complexity,Vision,visually complex,T0001-10.1080%2F02643294.2016.1147426.csv,yes
face,Face,Vision,having a human or human-like face,T0001-10.1080%2F02643294.2016.1147426.csv,yes
body,Body,Vision,having human or human-like body parts,T0001-10.1080%2F02643294.2016.1147426.csv,yes
touch,Touch,Somatic,something that you could easily recognize by touch,T0001-10.1080%2F02643294.2016.1147426.csv,yes
temperature,Temperature,Somatic,hot or cold to the touch,T0001-10.1080%2F02643294.2016.1147426.csv,yes
texture,Texture,Somatic,having a smooth or rough texture to the touch,T0001-10.1080%2F02643294.2016.1147426.csv,yes
weight,Weight,Somatic,light or heavy in weight,T0001-10.1080%2F02643294.2016.1147426.csv,yes
pain,Pain,Somatic,associated with pain or physical discomfort,T0001-10.1080%2F02643294.2016.1147426.csv,yes
audition,Audition,Audition,something that you can easily hear,T0001-10.1080%2F02643294.2016.1147426.csv,yes
loud,Loud,Audition,making a loud sound,T0001-10.1080%2F02643294.2016.1147426.csv,yes
low,Low,Audition,having a low-pitched sound,T0001-10.1080%2F02643294.2016.1147426.csv,yes
high,High,Audition,having a high-pitched sound,T0001-10.1080%2F02643294.2016.1147426.csv,yes
sound,Sound,Audition,having a characteristic or recognizable sound or sounds,T0001-10.1080%2F02643294.2016.1147426.csv,yes
music,Music,Audition,making a musical sound,T0001-10.1080%2F02643294.2016.1147426.csv,yes
speech,Speech,Audition,someone or something that talks,T0001-10.1080%2F02643294.2016.1147426.csv,yes
taste,Taste,Gustation,having a characteristic or defining taste,T0001-10.1080%2F02643294.2016.1147426.csv,yes
smell,Smell,Olfaction,having a characteristic or defining smell or smells,T0001-10.1080%2F02643294.2016.1147426.csv,yes
head,Head,Motor,"associated with actions using the face, mouth, or tongue",T0001-10.1080%2F02643294.2016.1147426.csv,yes
upperlimb,Upper limb,Motor,"associated with actions using the arm, hand, or fingers",T0001-10.1080%2F02643294.2016.1147426.csv,yes
lowerlimb,Lower limb,Motor,associated with actions using the leg or foot,T0001-10.1080%2F02643294.2016.1147426.csv,yes
practice,Practice,Motor,a physical object YOU have personal experience using,T0001-10.1080%2F02643294.2016.1147426.csv,yes
landmark,Landmark,Spatial,"having a fixed location, as on a map",T0002-10.1080%2F02643294.2016.1147426.csv,yes
path,Path,Spatial,showing changes in location along a particular direction or path,T0002-10.1080%2F02643294.2016.1147426.csv,yes
scene,Scene,Spatial,bringing to mind a particular setting or physical location,T0002-10.1080%2F02643294.2016.1147426.csv,yes
near,Near,Spatial,often physically near to you (within easy reach) in everyday life,T0002-10.1080%2F02643294.2016.1147426.csv,yes
toward,Toward,Spatial,associated with movement toward or into you,T0002-10.1080%2F02643294.2016.1147426.csv,yes
away,Away,Spatial,associated with movement away from or out of you,T0002-10.1080%2F02643294.2016.1147426.csv,yes
number,Number,Spatial,associated with a specific number or amount,T0002-10.1080%2F02643294.2016.1147426.csv,yes
time,Time,Temporal,an event or occurrence that occurs at a typical or predictable time,T0002-10.1080%2F02643294.2016.1147426.csv,yes
duration,Duration,Temporal,"an event that has a predictable duration, whether short or long",T0002-10.1080%2F02643294.2016.1147426.csv,yes
